Data,Autor,Treść,Link
2025-06-17 16:12:23,waldemar60.bsky.social,Co z ponownym przeliczeniem głosów z wyborów prezydenckich? Zdecydowany głos Polaków. Mamy najnowszy sondaż...              www.onet.pl/informacje/o...,at://did:plc:dbvljibhwirsgakew5f2ycpm/app.bsky.feed.post/3lrsv5lnuzc2b
2025-06-17 11:22:39,marekantoniusz.bsky.social,"#Sondaż 51,5 % ankietowanych chce ponownego liczenia głosów przez #SN www.onet.pl/informacje/o...",at://did:plc:7jn5tvfpv634sjlsypxk6l53/app.bsky.feed.post/3lrsexiy4ns24
2025-06-17 08:38:07,rp.pl,"Jak będzie kształtować się współpraca rządu Donalda Tuska (PO) i prezydenta Karola Nawrockiego, w kampanii popieranego przez PiS? Sondaż ośrodka Opinia24 dla RMF FM pokazuje, że Polacy nie są w tej sprawie optymistami.",at://did:plc:d5uaszqwxjjsmsanys4muhy3/app.bsky.feed.post/3lrs3rc7kwo25
2025-06-17 07:49:35,billy71pilgrim.bsky.social,"Ten sondaż potwierdza doskonale wyniki wyborów : co drugi Polak jest osobnikiem o IQ na poziomie ameby. Głosuję na nich ale nie chcę, żeby rządzili. Czego tu nie rozumieć?  Warto by sprawdzić czy ten sam Polak w ogóle rozumie słowo ""wybory"", ""oddać głos"", ""rządzić"" - to by było ciekawe.",at://did:plc:ezun3rblpf56rv6cce4zemwx/app.bsky.feed.post/3lrrz2jff2s2b
2025-06-17 06:54:25,marekantoniusz.bsky.social,Polacy chcą rządu #PiS z #Konfederacją? Zaskakujący sondaż www.upday.com/pl/polacy-ch...,at://did:plc:7jn5tvfpv634sjlsypxk6l53/app.bsky.feed.post/3lrrvxujwyk2b
2025-06-17 06:22:15,onet.pl,Jak Marta Nawrocka poradzi sobie w roli pierwszej damy? Oto najnowszy sondaż ➡️ http://dlvr.it/TLP9nk,at://did:plc:ktdyp2msmvhtupok65u4qaem/app.bsky.feed.post/3lrru6e7vv72p
2025-06-16 19:08:25,bikej5.bsky.social,"Pani Matusiak jest skarbnicą takiej wiedzy. A tak na marginesie - z kim chcą w przyszłości zawiązać koalicję? Bo sami rządzić nie będą, a może znowu się mylę i sondaż czytasz inaczej?",at://did:plc:zius6y6lwgmoj7af2bv7c53q/app.bsky.feed.post/3lrqojgfues2x
2025-06-16 18:14:31,whovotesnow.bsky.social,"#Polska 🇵🇱 – Sondaż IBRiS (16 VI): 𝗿𝗲𝗺𝗶𝘀 𝘁𝗲𝗰𝗵𝗻𝗶𝗰𝘇𝗻𝘆 między CC 🟠 a 🔵 PiS.  Ultrakatoliccy monarchiści z 𝗞𝗞𝗣 🟤 𝘄𝗰𝗵𝗼𝗱𝘇𝗮̨ 𝗱𝗼 𝗴𝗿𝘆 𝘇 𝟳%  🟠 CC: 31% 🔵 PiS: 30% ⚫ Konf: 15,8% 🟢 TD: 7,4% 🟤 KKP: 6,9% 🔴 Lewica: 6% 🟣 Razem: 3,3%  👇 electomania.es/encuesta-pol...",at://did:plc:lbgkhhras5blrcym424potme/app.bsky.feed.post/3lrqlj2mua62p
2025-06-16 17:56:02,ireneuszlara.bsky.social,"Sondaż Opinia24:  PiS: 28,8% - 181/178 mandatów KO: 28,8% - 167/166 mandatów Konf.: 13,8% - 70 mandatów KKP: 6,9% - 24/23 mandaty NL: 6,1% - 18/17 mandatów TD: 5,1% - 0/6 mandatów Razem: 4,6% - 0 mandatów  Rząd: 40,0% - 185/189 mandatów Opozycja: 54,1% - 275/271 mandatów",at://did:plc:752gscmsq5yroos5t3f4ulne/app.bsky.feed.post/3lrqkhzfkt22o
2025-06-16 16:17:54,przelom.bsky.social,"📊 Sondaż partyjny (12–14 czerwca 2025 r.)  🟠 Koalicja Obywatelska – 28,8% 🔵 PiS – 27,9% ⚫ Konfederacja – 14,7% 🟤 Korona (Braun) – 6,0% 🔴 Lewica – 5,6% 🟢 Trzecia Droga – 6,9% / poniżej progu 🟣 Partia Razem – 3,2% / poniżej progu ⚪ Inni / niezdecydowani – 6,9%  IBRiS dla Polsat News",at://did:plc:3t7yawjylhzv3w6inls2d4kj/app.bsky.feed.post/3lrqeyjfqis2p
